k,n1,n2,a1,a2,a3,a4,a5,a6,a7,a8,n3,n4,a9,a10
万能,头发,,,,,,,,,,,,,
万能,术法,法力,,,,,,,,,,,,
万能,堕落,,堕落的,堕落之,,,,,,,,,,
万能,十字,十字架,,,,,,,,,,,,
万能,玩具,玩意儿,,,,,,,,,,,,
万能,性,魔性,,,,,,,,,,,,
万能,完美,完璧,完美的,,,,,,,,,,,
万能,结果,,没有终点的,没有尽头的,,,,,,,,,,
万能,背德,,,,,,,,,,,,,
万能,世纪,时代,,,,,,,,,,,,
万能,起源,创世,,,,,,,,,,,,
万能,结束,终焉,终结的,,,,,,,,,,,
万能,连锁,,连锁的,连锁了的,,,,,,,,,,
万能,螺旋,,,,,,,,,,螺纹,,螺纹的,
万能,血,血痕,沾满鲜血的,浑身浴血的,,,,,,,鲜血,,鲜血的,
万能,戒律,,,,,,,,,,,,,
万能,追忆,,,,,,,,,,,,,
万能,记忆,,失去记忆的,追求记忆的,留在记忆中的,,,,,,,,,
万能,心不在焉,心乱,心不在焉的,心乱如麻的,,,,,,,,,,
万能,惩罚,罚,惩戒之,罪之,因罪受苦的,被教训的,,,,,,,,
万能,罪,冤罪,罪孽之,受罪的,背负罪孽的,,,,,,,,,
万能,低烧,,,,,,,,,,,,,
万能,笼,,笼中的,关在笼中的,不出笼的,箱子里的,装在箱子里的,,,,,,,
万能,胁迫,迫害,被威胁的,被胁迫的,被迫害的,,,,,,,,,
万能,快乐,愉悦,沉湎于快乐的,追求快乐的,沉溺在快乐中的,,,,,,,,,
万能,飞龙,海龙,,,,,,,,,,,,
万能,王牌,前锋,,,,,,,,,,,,
万能,戒指,项圈,,,,,,,,,环,护身符,,
万能,魔力,魔法,可疑的,妖异的,超脱常轨的,,,,,,魔术,,魔法的,
万能,弱点,,,,,,,,,,,,,
万能,收获,,,,,,,,,,收成,,收获的,
万能,瞬间,一瞬,一瞬间的,活在一瞬的,瞬间,,,,,,片刻,,,
万能,融合,合体,合体的,融合的,想合体的,,,,,,结合,,结合的,
万能,熔岩,,融化了的,快要融化的,正在融化的,,,,,,,,,
万能,同步,新月,同步的,为了同步的,追求同步的,,,,,,,,,
万能,雾,,被雾覆盖的,,,,,,,,雾气,,,
万能,逃亡,逃避现实,逃亡的,逃跑之,逃掉的,,,,,,逃脱,,,
万能,忘却,失坠,忘不了的,被遗忘了的,被遗忘的,,,,,,,,,
万能,暴风雨,,呼风唤雨的,呼唤暴风雨的,,,,,,,风暴,,风暴的,
万能,无限,回归,无限延续的,回归的,,,,,,,永恒,无尽,永恒的,无限的
万能,灾难,灾厄,惹祸的,呼唤灾难的,,,,,,,,,,
万能,遗产,,继承遗产的,,,,,,,,财富,,,
万能,深渊,,窥视深渊的,被深渊所迷惑的,窥探深渊的,坠落深渊的,,,,,,,,
万能,虐杀,抹杀,被屠杀的,被抹杀的,虐杀之,抹杀之,虐杀过度的,,,,屠杀,,,
万能,命运,定数,命运之,没有命数的,注定的,有命数的,叛逆命运的,叛逆命数的,顺从命运的,顺从命数的,命数,,,
万能,宿命,车轮,,,,,,,,,车轮,,,
万能,幻,梦幻,幻想的,如同幻想的,,,,,,,虚幻,,虚幻的,
万能,世界,,世界的,统治世界的,背弃世界的,,,,,,天下,,天下的,
万能,梦,,有梦想的,无梦的,梦境之,容易做梦的,进入梦乡的,追逐梦想的,,,梦境,,梦之,梦中的
万能,拳,,以拳为生的,以拳杀人的,,,,,,,关节,猛击,,
万能,预感,预言,被预言了的,被预言的,违背预言的,听从预言的,预言的,,,,预知,感觉,感官之,
万能,不净,污秽,染污的,肮脏的,不净的,被弄脏的,污秽的,,,,,,,
万能,正义,大义,,,,,,,,,正义,,,
万能,歌,诗,歌唱之,被歌颂的,,,,,,,歌声,,,
万能,软弱,腐败,腐烂掉的,软弱的,腐烂的,不腐的,腐败之,没有腐烂的,毫不软弱的,,,,腐烂,
万能,发,,,,,,,,,,,,,
万能,我,你,我是,俺是,吾辈是,你是,您是,在下是,,,,,,
万能,声,言语,无声的,无言的,,,,,,,声音,,,
形,不经意,,不经意的,,,,,,,,,,,
万能,鼓动,,开始鼓动的,被鼓动的,,,,,,,,,,
万能,翼,,飞翔的,振翅的,,,,,,,羽翼,羽毛,,
人,炽天使,堕天使,,,,,,,,,,,,
人,异端,异端者,被视为异端的,被忌讳的,被称为异端的,,,,,,,,,
万能,无条理,,,,,,,,,,,,,
情,绝望,虚无,,,,,,,,,,,,
万能,崩坏,破绽,露出破绽的,崩坏的,,,,,,,,,,
万能,赎罪,断罪,,,,,,,,,,,,
动物,幻想,幻兽,,,,,,,,,,,,
万能,因果律,因果,被因果囚禁的,被因果束缚的,因果之,,,,,,,,,
万能,屈辱,被虐,承受屈辱的,受到耻辱的,被虐待的,布满屈辱的,,,,,,,,
万能,刹那,,刹那闪耀之,刹那疾驰之,,,,,,,,,,
万能,觉醒,,觉醒的,苏醒的,,,,,,,,,,
万能,异世界,狭间,,,,,,,,,,,,
万能,魔眼,邪眼,,,,,,,,,,,,
万能,轮回,转生,,,,,,,,,,,,
万能,邂逅,,,,,,,,,,,,,
万能,封印,禁忌,被封印的,受封印之,被视为禁忌的,,,,,,,,,
万能,圣域,领域,,,,,,,,,,,,
万能,君主,,为您奉上的,,,,,,,,,,,
万能,奥术,秘术,,,,,,,,,,,,
万能,荣耀,荣光,充满荣耀的,盛誉的,充满荣光的,声名鹊起之,,,,,荣誉,,,
万能,冲动,冲击,冲动的,惊人的,感情用事的,,,,,,情感,,情感之,
万能,望乡,丧失,失去的,已经逝去的,,,,,,,,,,
万能,定理,法则,,,,,,,,,,,,
万能,监狱,牢狱,牢狱中的,被封闭的,,,,,,,,,,
人,龙骑兵,龙骑士,,,,,,,,,,,,
